restaurant,review,rating
Grill and Chill Majhitar,Excellent place! The chicken tikka and seekh kebab are standout dishes here.,5
Grill and Chill Majhitar,Okay food. The grilled items tasted like they were reheated. Expected fresher quality.,3
Grill and Chill Majhitar,"Loved the whole dining experience. Friendly staff, great food, good prices.",5
Grill and Chill Majhitar,Too oily. Almost every dish had excessive oil which made it difficult to enjoy.,2
Cozy Corner Majitar,Food quality is really poor. The thali was bland and the rice was undercooked.,2
Cozy Corner Majitar,Nice and cozy atmosphere as the name suggests. The dal makhani was well prepared.,4
Cozy Corner Majitar,Terrible experience. Found a hair in my food and the staff showed no concern when complained.,1
Cozy Corner Majitar,Simple local food done well. The veg meals are affordable and filling.,4
Cozy Corner Majitar,Average restaurant. Nothing to write home about but serves its purpose if you are hungry.,3
Cozy Corner Majitar,Loved the local Sikkimese dishes here. The gundruk soup and chhurpi snacks were authentic.,5
Cozy Corner Majitar,The hygiene standards are poor. The tables were dirty and the utensils looked unwashed.,1
Cozy Corner Majitar,Friendly owner who personally comes to check on guests. The food is home cooked and tasty.,5
Cozy Corner Majitar,Okay food. The prices are reasonable but do not expect great quality.,3
Cozy Corner Majitar,Very disappointing. The menu shown online does not match what is actually available.,2
Cozy Corner Majitar,"One of my go-to spots in Majitar. Simple, honest food at fair prices.",4
Cozy Corner Majitar,The chicken curry was extremely spicy and not in a good way. Could not finish it.,2
Hotel Majitar Retreat Restaurant,Beautiful restaurant with a great view of the Teesta river. Food quality matches the ambiance.,5
Hotel Majitar Retreat Restaurant,Stayed at the hotel and had all meals here. Consistent quality and excellent service.,5
Hotel Majitar Retreat Restaurant,Good food but a bit pricey. Worth it for special occasions or if staying at the hotel.,4
Hotel Majitar Retreat Restaurant,The breakfast buffet is excellent. Wide variety and everything is fresh and well-prepared.,5
Hotel Majitar Retreat Restaurant,Overpriced for the quantity. The portions are small for a hotel restaurant charging these rates.,2
Hotel Majitar Retreat Restaurant,Wonderful dining experience. The staff are professional and the Indian and Chinese food is top notch.,5
Hotel Majitar Retreat Restaurant,Average hotel restaurant food. Nothing that stands out but safely edible and clean.,3
Hotel Majitar Retreat Restaurant,Great location by the river. The food complements the scenic setting well.,4
Hotel Majitar Retreat Restaurant,Service was slow during peak hours. Had to wait 40 minutes for lunch which is too long.,2
Hotel Majitar Retreat Restaurant,Highly recommend the thukpa and momos here. Authentic Sikkimese flavors in a comfortable setting.,5
Hotel Majitar Retreat Restaurant,The continental breakfast was fresh and well presented. Great start to a day in Majitar.,4
Hotel Majitar Retreat Restaurant,The river view from the dining area is stunning. Food was good quality for a hotel setup.,4
Sangay Restaurant Majitar,Excellent local cuisine. The sel roti and gundruk were prepared just like home.,5
Sangay Restaurant Majitar,Good variety on the menu. The thali meal is filling and very affordable.,4
Sangay Restaurant Majitar,Service was quick and friendly. Food was hot and arrived within 15 minutes. Impressed.,5
Sangay Restaurant Majitar,Decent food but nothing extraordinary. Reliable for a regular meal in Majitar.,3
Sangay Restaurant Majitar,The Tibetan style noodles were well seasoned. A must try for noodle lovers in Majitar.,4
Sangay Restaurant Majitar,Very slow service and the food was cold when it arrived. Will not return.,2
Sangay Restaurant Majitar,Great home-style cooking. Feels like a didi's kitchen. Loved every bite of the meal.,5
Sangay Restaurant Majitar,Average quality food. The curry lacked depth of flavor and the rice was too dry.,3
Sangay Restaurant Majitar,Hygienic and clean restaurant. One of the better maintained eateries in Majitar.,4
Sangay Restaurant Majitar,Portions are huge here. Definitely worth the price and very filling. Loved the experience.,5
Sangay Restaurant Majitar,The owner is rude and dismissive. Food was okay but the attitude ruined the experience.,2
Sangay Restaurant Majitar,Reasonable prices for the quality offered. Good for budget travelers passing through Majitar.,4
Hotel Temi Restaurant Majitar,Comfortable seating and well lit restaurant. The veg thali is simple but satisfying.,4
Hotel Temi Restaurant Majitar,The food is consistently good every time I visit. Staff remember regular customers.,5
Hotel Temi Restaurant Majitar,Stayed nearby and ate here daily. The food is consistent and the staff are helpful.,4
Hotel Temi Restaurant Majitar,Very average experience. Nothing special but it works when you need a quick meal.,3
Hotel Temi Restaurant Majitar,Great value for money. The full meal thali is affordable and very filling.,4
Hotel Temi Restaurant Majitar,The noodle soup here is incredible during cold evenings. Perfect comfort food.,5
Hotel Temi Restaurant Majitar,Poor service and mediocre food. The waiter was dismissive and the food arrived late.,2
Hotel Temi Restaurant Majitar,Reliable place for a decent meal. Not fancy but clean and the food tastes good.,4
Hotel Temi Restaurant Majitar,Loved the momos here. Steamed and fried options both available and both excellent.,5
Hotel Temi Restaurant Majitar,The Tibetan bread with butter tea is a nice morning option. Enjoyed the local touch.,4
Hotel Temi Restaurant Majitar,Bland food and no ambiance. Feels like eating in a canteen rather than a restaurant.,2
Hotel Temi Restaurant Majitar,Decent stop if you are passing through. Do not go out of your way but it is fine.,3
The Riverside Dhaba Majitar,Eating by the Teesta river while having chai and pakoras is an experience you cannot beat.,5
The Riverside Dhaba Majitar,Simple dhaba food done right. The aloo paratha with curd is exactly what you need after a long drive.,5
The Riverside Dhaba Majitar,The fish curry here is fresh from the river and absolutely delicious. Highly recommended.,5
The Riverside Dhaba Majitar,Good roadside dhaba. Basic food but the location beside the river makes it special.,4
The Riverside Dhaba Majitar,"Hygienic concerns. The cooking area is exposed and not very clean. Ate here once, will not return.",1
The Riverside Dhaba Majitar,A classic dhaba experience. The rajma chawal is comforting and the staff are friendly.,4
The Riverside Dhaba Majitar,Very basic food and service. It is what you expect from a roadside dhaba so no complaints.,3
The Riverside Dhaba Majitar,Loved the rustic feel of this place. The chai here is the best in Majitar without question.,5
The Riverside Dhaba Majitar,Friendly owner who knows regular customers. The food has a homely taste that I love.,4
The Riverside Dhaba Majitar,Okay for a quick snack but would not recommend for a full meal. Very limited options.,3
The Riverside Dhaba Majitar,The flies around the seating area were a big problem. Need to improve cleanliness.,1
The Riverside Dhaba Majitar,"Magical spot. Sitting riverside, watching the Teesta flow while eating hot momos is unbeatable.",5
Coffee Break,I was craving something really cheesy and indulgent. Ordered the cheese burst pizza and followed it with a chocolate lava cake. Absolutely satisfied my craving. This is the place to come for cheesy comfort food and desserts in Majitar.,5
Coffee Break,My friend wanted pizza and I wanted dessert so Coffee Break was the obvious choice. The pizza crust had the right amount of cheese and the brownie sundae was rich and creamy. Perfect for our mixed cravings.,5
Coffee Break,Visited specifically for their dessert menu after reading reviews. The cheesecake slice was thick and creamy and the cold brew coffee paired with it perfectly. Highly recommend for anyone with a sweet tooth in Majitar.,5
Coffee Break,Came here for pizza and stayed for the desserts. The loaded cheese pizza was excellent but what really impressed me was the chocolate mousse cup. Rich and not too sweet. Will definitely return for both.,5
Coffee Break,"If you are looking for pizza and desserts in Majitar, Coffee Break is the only real option and it delivers well. The four-cheese pizza is the star. Service is slow but the food makes up for it.",4
Coffee Break,"Ordered the mac and cheese bowl on a cold evening and it was exactly what I needed. Creamy, cheesy and served hot. The caramel dessert cup on the side made it a perfect meal.",5
Cozy Corner Majitar,Came here specifically for authentic Sikkimese food. The gundruk soup was perfectly sour and the chhurpi snack was exactly as my grandmother used to make it. This is the real deal for local cuisine.,5
Sangay Restaurant Majitar,"Our whole family wanted to eat traditional Sikkimese food and Sangay delivered beautifully. The sel roti was crispy and fresh, the kinema curry was authentic, and the staff were very welcoming. Perfect for a family seeking local flavors.",5
Cozy Corner Majitar,"A vegetarian group of us wanted proper local food without any fuss. Cozy Corner gave us exactly that. The veg thali with gundruk and dal was filling, affordable and tasted genuinely homemade.",4
Grill and Chill Majhitar,"My group of friends wanted a proper BBQ night. Grill and Chill exceeded every expectation. The mixed grill platter with pork ribs, chicken tikka and seekh kebab was enormous and incredibly flavorful. Perfect for meat lovers in Majitar.",5
Grill and Chill Majhitar,"After a long trek we all craved grilled meat and someone recommended Grill and Chill. Best recommendation ever. The BBQ platter was smoky, juicy and the homemade sauce was outstanding. Exactly what tired hikers need.",5
Grill and Chill Majhitar,Wanted a hearty non-vegetarian meal with proper grilled items. Grill and Chill is the best in Majitar for this. The chicken and fish options are both excellent. A must visit for anyone wanting proper grilled food.,5
Hotel Majitar Retreat Restaurant,"My partner and I wanted a romantic dinner with a view. The Hotel Majitar Retreat restaurant overlooking the Teesta river was just perfect. The ambiance was lovely, the food was top quality and the service was excellent. A truly memorable evening.",5
The Riverside Dhaba Majitar,We just wanted a casual riverside experience with tea and light snacks. The Riverside Dhaba gave us exactly that rustic charm by the Teesta. Chai and pakoras by the river felt magical. Highly recommended for a relaxed riverside outing.,5
Hotel Temi Restaurant Majitar,"Just passing through Majitar and needed a quick affordable meal. Hotel Temi was the perfect stop. Got a full thali for a very reasonable price, it was served quickly and it was filling. Great option for budget travelers on the go.",4
The Riverside Dhaba Majitar,Stopped here during a road trip for a quick chai break. The aloo paratha and curd at the dhaba was incredibly satisfying and very cheap. Perfect roadside stop for travelers who do not want to spend much but want good food.,5
